Level 1,Level 2,Level 3,Level 4,Level 5,Level 6
1: telencephalon (tel),42: basal_ganglia (BG),43: striatum (Str),51: ventral_striatum (VStr),52: accumbens (Acb),52: accumbens (Acb)
1: telencephalon (tel),42: basal_ganglia (BG),43: striatum (Str),51: ventral_striatum (VStr),53: olfactory_tubercule (Tu),53: olfactory_tubercule (Tu)
1: telencephalon (tel),42: basal_ganglia (BG),54: pallidum (Pd),54: pallidum (Pd),55: globus_pallidus (GP),56: external_globus_pallidus (EGP)
1: telencephalon (tel),42: basal_ganglia (BG),54: pallidum (Pd),54: pallidum (Pd),55: globus_pallidus (GP),57: internal_globus_pallidus (IGP)
1: telencephalon (tel),42: basal_ganglia (BG),54: pallidum (Pd),54: pallidum (Pd),55: globus_pallidus (GP),58: ansa_lenticularis (al)
1: telencephalon (tel),42: basal_ganglia (BG),54: pallidum (Pd),54: pallidum (Pd),59: anterior_commissure (ac),59: anterior_commissure (ac)
1: telencephalon (tel),42: basal_ganglia (BG),54: pallidum (Pd),54: pallidum (Pd),60: ventral_pallidum (VP),60: ventral_pallidum (VP)
1: telencephalon (tel),61: diagonal_subpallium (DSP),61: diagonal_subpallium (DSP),62: basal_nucleus_region (BR),62: basal_nucleus_region (BR),63: peri-basal_region (PeB)
1: telencephalon (tel),61: diagonal_subpallium (DSP),61: diagonal_subpallium (DSP),62: basal_nucleus_region (BR),62: basal_nucleus_region (BR),64: basal_nucleus (B)
1: telencephalon (tel),61: diagonal_subpallium (DSP),61: diagonal_subpallium (DSP),65: bed_nucleus_of_the_stria_terminalis (ST),65: bed_nucleus_of_the_stria_terminalis (ST),65: bed_nucleus_of_the_stria_terminalis (ST)
1: telencephalon (tel),61: diagonal_subpallium (DSP),61: diagonal_subpallium (DSP),66: septum_diagonal_band_complex (SDBR),67: septimbrial_nucleus (SFi),67: septimbrial_nucleus (SFi)
1: telencephalon (tel),61: diagonal_subpallium (DSP),61: diagonal_subpallium (DSP),66: septum_diagonal_band_complex (SDBR),68: septum_diagonal_band (SDB),68: septum_diagonal_band (SDB)
1: telencephalon (tel),69: preoptic_complex (POC),69: preoptic_complex (POC),70: optic_tract (opt),70: optic_tract (opt),70: optic_tract (opt)
1: telencephalon (tel),69: preoptic_complex (POC),69: preoptic_complex (POC),71: preoptic_region (POR),72: preoptic_area (PO),72: preoptic_area (PO)
1: telencephalon (tel),69: preoptic_complex (POC),69: preoptic_complex (POC),71: preoptic_region (POR),73: lamina_terminalis (LTer-VOLT),73: lamina_terminalis (LTer-VOLT)
74: diencephalon (di),75: hypothalamus (Hy),76: tuberal_hypothalamus (THy),77: medial_tuberal_hypothalamus (MTHy),78: paraventricular_hypothalamus (Pa),78: paraventricular_hypothalamus (Pa)
74: diencephalon (di),75: hypothalamus (Hy),76: tuberal_hypothalamus (THy),79: ventral_tuberal_hypothalamus (VTHy),80: ventromedial_hypothalamic_nucleus (VMH),80: ventromedial_hypothalamic_nucleus (VMH)
74: diencephalon (di),75: hypothalamus (Hy),76: tuberal_hypothalamus (THy),79: ventral_tuberal_hypothalamus (VTHy),81: medial_emminence (MEm),81: medial_emminence (MEm)
74: diencephalon (di),75: hypothalamus (Hy),76: tuberal_hypothalamus (THy),79: ventral_tuberal_hypothalamus (VTHy),82: arcuate_nucleus (Arc),82: arcuate_nucleus (Arc)
74: diencephalon (di),75: hypothalamus (Hy),76: tuberal_hypothalamus (THy),83: dorsal_tuberal_hypothalamus (DTHy),84: supraoptic_hypothalamus (SOpt),84: supraoptic_hypothalamus (SOpt)
74: diencephalon (di),75: hypothalamus (Hy),76: tuberal_hypothalamus (THy),83: dorsal_tuberal_hypothalamus (DTHy),85: anterior_hypothalamic_area (AH),85: anterior_hypothalamic_area (AH)
74: diencephalon (di),75: hypothalamus (Hy),76: tuberal_hypothalamus (THy),83: dorsal_tuberal_hypothalamus (DTHy),86: dorsal_medial_hypothalamic_nucleus (DM),86: dorsal_medial_hypothalamic_nucleus (DM)
74: diencephalon (di),75: hypothalamus (Hy),76: tuberal_hypothalamus (THy),83: dorsal_tuberal_hypothalamus (DTHy),87: lateral_hypothalamic_region (LHy),88: lateral_hypothalamic_area (LH)
74: diencephalon (di),75: hypothalamus (Hy),76: tuberal_hypothalamus (THy),83: dorsal_tuberal_hypothalamus (DTHy),87: lateral_hypothalamic_region (LHy),89: justaparaventricular_lateral_hypothalamus (JPLH)
74: diencephalon (di),75: hypothalamus (Hy),76: tuberal_hypothalamus (THy),83: dorsal_tuberal_hypothalamus (DTHy),87: lateral_hypothalamic_region (LHy),90: peduncular_lateral_hypothalamus (PLH)
74: diencephalon (di),75: hypothalamus (Hy),76: tuberal_hypothalamus (THy),83: dorsal_tuberal_hypothalamus (DTHy),91: subthalamic_nucleus (STh),91: subthalamic_nucleus (STh)
74: diencephalon (di),75: hypothalamus (Hy),92: posterior_hypothalamus (PHy),93: dorsal_posterior_hypothalamus (DPHy),94: posterior_hypothalamic_nucleus (PH),94: posterior_hypothalamic_nucleus (PH)
74: diencephalon (di),75: hypothalamus (Hy),92: posterior_hypothalamus (PHy),95: ventral_posterior_hypothalamus (VPHy),96: prefornical_hypothalamus (PeF),96: prefornical_hypothalamus (PeF)
74: diencephalon (di),75: hypothalamus (Hy),92: posterior_hypothalamus (PHy),95: ventral_posterior_hypothalamus (VPHy),97: mammillary/retromammillary_hypothalamus (MM/RM),98: retromammillary_hypothalamus (RM)
74: diencephalon (di),75: hypothalamus (Hy),92: posterior_hypothalamus (PHy),95: ventral_posterior_hypothalamus (VPHy),97: mammillary/retromammillary_hypothalamus (MM/RM),99: mammillary_hypothalamus (MM)
74: diencephalon (di),75: hypothalamus (Hy),100: pituitary (Pit),100: pituitary (Pit),101: anterior_pituitary (APit),101: anterior_pituitary (APit)
74: diencephalon (di),75: hypothalamus (Hy),100: pituitary (Pit),100: pituitary (Pit),102: posterior_pituitary (PPit),102: posterior_pituitary (PPit)
74: diencephalon (di),103: prethalamus (PreThal),104: zona_incerta_and_lenticular_fascicles (ZI-H),104: zona_incerta_and_lenticular_fascicles (ZI-H),104: zona_incerta_and_lenticular_fascicles (ZI-H),104: zona_incerta_and_lenticular_fascicles (ZI-H)
74: diencephalon (di),105: thalamus (Thal),106: reticular_thalamus (Rt),106: reticular_thalamus (Rt),106: reticular_thalamus (Rt),106: reticular_thalamus (Rt)
74: diencephalon (di),105: thalamus (Thal),107: medial_thalamus (MThal),108: anterior_thalamus+ (A+),109: anterior_thalamus_region (AR),110: anterior_thalamus (A)
74: diencephalon (di),105: thalamus (Thal),107: medial_thalamus (MThal),108: anterior_thalamus+ (A+),109: anterior_thalamus_region (AR),111: capsule_of_the_antherior_thalamus (cap)
74: diencephalon (di),105: thalamus (Thal),107: medial_thalamus (MThal),112: intralaminar_thalamus (ILThal),113: centrolateral_and_paracentral_thalamus (CL-PC),113: centrolateral_and_paracentral_thalamus (CL-PC)
74: diencephalon (di),105: thalamus (Thal),107: medial_thalamus (MThal),112: intralaminar_thalamus (ILThal),114: centromedial-parafascicular_thalamus (CMn-PF),114: centromedial-parafascicular_thalamus (CMn-PF)
74: diencephalon (di),105: thalamus (Thal),107: medial_thalamus (MThal),112: intralaminar_thalamus (ILThal),115: suprafascicular_nucleus (SPFC),116: subparafascicular_nucleus (SPFPC)
74: diencephalon (di),105: thalamus (Thal),107: medial_thalamus (MThal),112: intralaminar_thalamus (ILThal),117: supra_geniculate (SG),117: supra_geniculate (SG)
74: diencephalon (di),105: thalamus (Thal),107: medial_thalamus (MThal),112: intralaminar_thalamus (ILThal),118: limitans_thalamus (Lim),118: limitans_thalamus (Lim)
74: diencephalon (di),105: thalamus (Thal),107: medial_thalamus (MThal),119: mediodorsal_thalamus (MD),119: mediodorsal_thalamus (MD),119: mediodorsal_thalamus (MD)
74: diencephalon (di),105: thalamus (Thal),120: midline_thalamus (MLThal),120: midline_thalamus (MLThal),121: intermediodorsal_thalamus (IMD),121: intermediodorsal_thalamus (IMD)
74: diencephalon (di),105: thalamus (Thal),120: midline_thalamus (MLThal),120: midline_thalamus (MLThal),122: paratenial-paraventral-thalamus (PT-PV-sm),122: paratenial-paraventral-thalamus (PT-PV-sm)
74: diencephalon (di),105: thalamus (Thal),120: midline_thalamus (MLThal),120: midline_thalamus (MLThal),123: paraventricular_posterior_thalamus (PVP),123: paraventricular_posterior_thalamus (PVP)
74: diencephalon (di),105: thalamus (Thal),120: midline_thalamus (MLThal),120: midline_thalamus (MLThal),124: paraventricular_anterior_thalamus (PVA),124: paraventricular_anterior_thalamus (PVA)
74: diencephalon (di),105: thalamus (Thal),120: midline_thalamus (MLThal),120: midline_thalamus (MLThal),125: interanteromedial_thalamus (IAM),125: interanteromedial_thalamus (IAM)
74: diencephalon (di),105: thalamus (Thal),120: midline_thalamus (MLThal),120: midline_thalamus (MLThal),126: central_medial_thalamus (CM),126: central_medial_thalamus (CM)
74: diencephalon (di),105: thalamus (Thal),120: midline_thalamus (MLThal),120: midline_thalamus (MLThal),127: Reuniens-rhomboid-xiphoid_thalamus (Re-Rh-Xi),127: Reuniens-rhomboid-xiphoid_thalamus (Re-Rh-Xi)
74: diencephalon (di),105: thalamus (Thal),128: ventral_thalamus (VThal),129: pallido_nigral_thalamus (PNThal),130: ventral_anterior_thalamus (VA),130: ventral_anterior_thalamus (VA)
74: diencephalon (di),105: thalamus (Thal),128: ventral_thalamus (VThal),129: pallido_nigral_thalamus (PNThal),131: ventral_lateral_anterior_thalamus (VLA),131: ventral_lateral_anterior_thalamus (VLA)
74: diencephalon (di),105: thalamus (Thal),128: ventral_thalamus (VThal),132: cerebellar_thalamus (CbThal),133: ventral_lateral_x_thalamus (VLX),133: ventral_lateral_x_thalamus (VLX)
74: diencephalon (di),105: thalamus (Thal),128: ventral_thalamus (VThal),132: cerebellar_thalamus (CbThal),134: ventral_lateral_posteroventral_thalamus (VLPV),134: ventral_lateral_posteroventral_thalamus (VLPV)
74: diencephalon (di),105: thalamus (Thal),128: ventral_thalamus (VThal),132: cerebellar_thalamus (CbThal),135: ventral_lateral_posterodorsal_thalamus (VLPD),135: ventral_lateral_posterodorsal_thalamus (VLPD)
74: diencephalon (di),105: thalamus (Thal),128: ventral_thalamus (VThal),136: spinal_thalamus (SpThal),137: ventroposterior_medial_and_lateral_thalamus (VPM-VPL),137: ventroposterior_medial_and_lateral_thalamus (VPM-VPL)
74: diencephalon (di),105: thalamus (Thal),128: ventral_thalamus (VThal),136: spinal_thalamus (SpThal),138: ventromedial_posterior+basal_thalamus (VMPo-VMB),138: ventromedial_posterior+basal_thalamus (VMPo-VMB)
74: diencephalon (di),105: thalamus (Thal),128: ventral_thalamus (VThal),136: spinal_thalamus (SpThal),139: ventroposterior_inferior_thalamus (VPI),139: ventroposterior_inferior_thalamus (VPI)
74: diencephalon (di),105: thalamus (Thal),128: ventral_thalamus (VThal),136: spinal_thalamus (SpThal),140: ventral_medial_thalamus (VM),140: ventral_medial_thalamus (VM)
74: diencephalon (di),105: thalamus (Thal),141: posterior_thalamus (PThal),142: lateral_posterior_thalamus (LP),142: lateral_posterior_thalamus (LP),142: lateral_posterior_thalamus (LP)
74: diencephalon (di),105: thalamus (Thal),141: posterior_thalamus (PThal),143: lateral_dorsal_thalamus (LD),143: lateral_dorsal_thalamus (LD),143: lateral_dorsal_thalamus (LD)
74: diencephalon (di),105: thalamus (Thal),141: posterior_thalamus (PThal),144: pulvinar_thalamus (Pul),145: anterior_pulvinar (APul),145: anterior_pulvinar (APul)
74: diencephalon (di),105: thalamus (Thal),141: posterior_thalamus (PThal),144: pulvinar_thalamus (Pul),146: medial_pulvinar (MPul),146: medial_pulvinar (MPul)
74: diencephalon (di),105: thalamus (Thal),141: posterior_thalamus (PThal),144: pulvinar_thalamus (Pul),147: lateral_pulvinar (LPul),147: lateral_pulvinar (LPul)
74: diencephalon (di),105: thalamus (Thal),141: posterior_thalamus (PThal),144: pulvinar_thalamus (Pul),148: inferior_pulvinar (IPul),148: inferior_pulvinar (IPul)
74: diencephalon (di),105: thalamus (Thal),141: posterior_thalamus (PThal),144: pulvinar_thalamus (Pul),149: brachium_superior_colliculus (bsc),149: brachium_superior_colliculus (bsc)
74: diencephalon (di),105: thalamus (Thal),150: geniculate_thalamus (GThal),151: dorsal_lateral_geniculate (DLG),151: dorsal_lateral_geniculate (DLG),151: dorsal_lateral_geniculate (DLG)
74: diencephalon (di),105: thalamus (Thal),150: geniculate_thalamus (GThal),152: medial_geniculate (MG),152: medial_geniculate (MG),152: medial_geniculate (MG)
74: diencephalon (di),153: epithalamus (EpiThal),153: epithalamus (EpiThal),154: pineal_gland (Pi),154: pineal_gland (Pi),154: pineal_gland (Pi)
74: diencephalon (di),153: epithalamus (EpiThal),153: epithalamus (EpiThal),155: habenula (Hb),155: habenula (Hb),155: habenula (Hb)
74: diencephalon (di),156: pretectum (PrT),156: pretectum (PrT),156: pretectum (PrT),157: posterior_commissural_region (PCR),158: posterior_commissure (pc)
74: diencephalon (di),156: pretectum (PrT),156: pretectum (PrT),156: pretectum (PrT),157: posterior_commissural_region (PCR),159: precommissural_nucleus (PrC)
74: diencephalon (di),156: pretectum (PrT),156: pretectum (PrT),156: pretectum (PrT),157: posterior_commissural_region (PCR),160: posterior_commissural_nuclei (PCom_MCPC)
74: diencephalon (di),156: pretectum (PrT),156: pretectum (PrT),156: pretectum (PrT),161: p1_mesencephalic_reticulum (p1Rt),161: p1_mesencephalic_reticulum (p1Rt)
162: mesencephalon (mes),163: midbrain (Mid),164: dorsal_midbrain (DMid),165: colliculi (Co),166: superior_colliculus (SC),166: superior_colliculus (SC)
162: mesencephalon (mes),163: midbrain (Mid),164: dorsal_midbrain (DMid),165: colliculi (Co),167: inferior_colliculus_complex (ICoC),168: inferior_colliculus (ICo)
162: mesencephalon (mes),163: midbrain (Mid),164: dorsal_midbrain (DMid),165: colliculi (Co),167: inferior_colliculus_complex (ICoC),169: saginum_nucleus (Sag-RL)
162: mesencephalon (mes),163: midbrain (Mid),164: dorsal_midbrain (DMid),170: periaqueductal_gray_region (PAGR),171: fourth_nerve (n4),171: fourth_nerve (n4)
162: mesencephalon (mes),163: midbrain (Mid),164: dorsal_midbrain (DMid),170: periaqueductal_gray_region (PAGR),172: periaqueductal_gray (PAG),172: periaqueductal_gray (PAG)
162: mesencephalon (mes),163: midbrain (Mid),173: lateral_midbrain (LMid),174: midbrain_tegmentum (TgMid),175: parabigeminal_nucleus (PBG),175: parabigeminal_nucleus (PBG)
162: mesencephalon (mes),163: midbrain (Mid),173: lateral_midbrain (LMid),174: midbrain_tegmentum (TgMid),176: mircrocellular_tegmentum (MiTg),176: mircrocellular_tegmentum (MiTg)
162: mesencephalon (mes),163: midbrain (Mid),173: lateral_midbrain (LMid),174: midbrain_tegmentum (TgMid),177: precuneiform_nucleus (PrCnF),177: precuneiform_nucleus (PrCnF)
162: mesencephalon (mes),163: midbrain (Mid),173: lateral_midbrain (LMid),174: midbrain_tegmentum (TgMid),178: cuneiform_nucleus (CnF),178: cuneiform_nucleus (CnF)
162: mesencephalon (mes),163: midbrain (Mid),173: lateral_midbrain (LMid),174: midbrain_tegmentum (TgMid),179: ventrolateral_tegmentum (VLTg),179: ventrolateral_tegmentum (VLTg)
162: mesencephalon (mes),163: midbrain (Mid),173: lateral_midbrain (LMid),174: midbrain_tegmentum (TgMid),180: pedunculopontine_nucleus (PTg),180: pedunculopontine_nucleus (PTg)
162: mesencephalon (mes),163: midbrain (Mid),173: lateral_midbrain (LMid),174: midbrain_tegmentum (TgMid),181: anterior_tegmental_nucleus (ATg),181: anterior_tegmental_nucleus (ATg)
162: mesencephalon (mes),163: midbrain (Mid),173: lateral_midbrain (LMid),182: midbrain_reticulum (RtMid),183: mesencephalic_reticular_formation (mRt),183: mesencephalic_reticular_formation (mRt)
162: mesencephalon (mes),163: midbrain (Mid),173: lateral_midbrain (LMid),182: midbrain_reticulum (RtMid),184: retroisthmic_nucleus (RIs),184: retroisthmic_nucleus (RIs)
162: mesencephalon (mes),163: midbrain (Mid),185: medial_midbrain (MMid),186: occulomotor_region (OC+),187: occulomotor_nuclei (OM),187: occulomotor_nuclei (OM)
162: mesencephalon (mes),163: midbrain (Mid),185: medial_midbrain (MMid),186: occulomotor_region (OC+),188: mediolateral_fascicle (mlf),188: mediolateral_fascicle (mlf)
162: mesencephalon (mes),163: midbrain (Mid),185: medial_midbrain (MMid),189: midbrain_raphe (raphe_Mid),190: medial_Raphe (MR),190: medial_Raphe (MR)
162: mesencephalon (mes),163: midbrain (Mid),185: medial_midbrain (MMid),189: midbrain_raphe (raphe_Mid),191: dorsal_Raphe (DR),191: dorsal_Raphe (DR)
162: mesencephalon (mes),163: midbrain (Mid),185: medial_midbrain (MMid),189: midbrain_raphe (raphe_Mid),192: linear_Raphe (LiR),192: linear_Raphe (LiR)
162: mesencephalon (mes),163: midbrain (Mid),193: ventral_midbrain (VMid),194: rubral_region (R+),194: rubral_region (R+),195: red_nucleus (R)
162: mesencephalon (mes),163: midbrain (Mid),193: ventral_midbrain (VMid),194: rubral_region (R+),194: rubral_region (R+),196: prerubral_field (PR-RI)
162: mesencephalon (mes),163: midbrain (Mid),193: ventral_midbrain (VMid),197: midbrain_dopaminergic_complex (DA_Mid),198: retrorubral_field (RF),198: retrorubral_field (RF)
162: mesencephalon (mes),163: midbrain (Mid),193: ventral_midbrain (VMid),197: midbrain_dopaminergic_complex (DA_Mid),199: substantia_nigra (SN),199: substantia_nigra (SN)
162: mesencephalon (mes),163: midbrain (Mid),193: ventral_midbrain (VMid),197: midbrain_dopaminergic_complex (DA_Mid),200: ventral_tegmental_area (VTA),200: ventral_tegmental_area (VTA)
162: mesencephalon (mes),163: midbrain (Mid),193: ventral_midbrain (VMid),197: midbrain_dopaminergic_complex (DA_Mid),201: interpeduncular_nucleus (IP),201: interpeduncular_nucleus (IP)
162: mesencephalon (mes),163: midbrain (Mid),193: ventral_midbrain (VMid),197: midbrain_dopaminergic_complex (DA_Mid),202: occulomotor_nerve (n3),202: occulomotor_nerve (n3)
162: mesencephalon (mes),163: midbrain (Mid),193: ventral_midbrain (VMid),197: midbrain_dopaminergic_complex (DA_Mid),203: cerebral_peduncle (cp),203: cerebral_peduncle (cp)
204: metencephalon (met),205: pons (Pons),206: dorsal_pons (DPons),207: parabrachial_complex (PBC),207: parabrachial_complex (PBC),208: lateral_parabrachial_nucleus (LPB)
204: metencephalon (met),205: pons (Pons),206: dorsal_pons (DPons),207: parabrachial_complex (PBC),207: parabrachial_complex (PBC),209: medial_parabrachial_nucleus (MPB)
204: metencephalon (met),205: pons (Pons),206: dorsal_pons (DPons),207: parabrachial_complex (PBC),207: parabrachial_complex (PBC),210: superior_cerebellar_peduncle (scp)
204: metencephalon (met),205: pons (Pons),206: dorsal_pons (DPons),207: parabrachial_complex (PBC),207: parabrachial_complex (PBC),211: Kolliker-Fuse_nucleus (KF)
204: metencephalon (met),205: pons (Pons),206: dorsal_pons (DPons),212: locus-central_gray_region (LGR),213: locus-coeruleus_region (LC-Me5),213: locus-coeruleus_region (LC-Me5)
204: metencephalon (met),205: pons (Pons),206: dorsal_pons (DPons),212: locus-central_gray_region (LGR),214: mesencephalic_trigeminal_nerve (me5),214: mesencephalic_trigeminal_nerve (me5)
204: metencephalon (met),205: pons (Pons),206: dorsal_pons (DPons),212: locus-central_gray_region (LGR),215: central_gray_nucleus (CG),215: central_gray_nucleus (CG)
204: metencephalon (met),205: pons (Pons),206: dorsal_pons (DPons),216: pontine_dorsal_tegmentum (tgPons),217: lateral_dorsal_tegmentum (LDTg),217: lateral_dorsal_tegmentum (LDTg)
204: metencephalon (met),205: pons (Pons),206: dorsal_pons (DPons),216: pontine_dorsal_tegmentum (tgPons),218: medial_dorsal_tegmentum (MDTg),218: medial_dorsal_tegmentum (MDTg)
204: metencephalon (met),205: pons (Pons),219: lateral_pons (LPons),220: lateral_lemniscus_complex (ll+),221: lateral_lemniscus (ll),221: lateral_lemniscus (ll)
204: metencephalon (met),205: pons (Pons),219: lateral_pons (LPons),220: lateral_lemniscus_complex (ll+),222: dorsal_lateral_leminscus_nucleus (DLL),222: dorsal_lateral_leminscus_nucleus (DLL)
204: metencephalon (met),205: pons (Pons),219: lateral_pons (LPons),220: lateral_lemniscus_complex (ll+),223: intermediate+ventral_lateral_lemniscus_nuclei (ILL-VLL),223: intermediate+ventral_lateral_lemniscus_nuclei (ILL-VLL)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),225: pontine_reticulum (retPons),226: subceruleus (SubC),226: subceruleus (SubC)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),225: pontine_reticulum (retPons),227: reticulotegmentum (RtTg),227: reticulotegmentum (RtTg)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),225: pontine_reticulum (retPons),228: superior_cerebellar_peduncle_decussation (xscp),228: superior_cerebellar_peduncle_decussation (xscp)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),225: pontine_reticulum (retPons),229: pontine_reticulum_oral (PnO),229: pontine_reticulum_oral (PnO)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),225: pontine_reticulum (retPons),230: pontine_reticulum_caudal (PnC),230: pontine_reticulum_caudal (PnC)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),231: superior_olive+lemiscal_region (SO/ml),232: superior_olive (SO),232: superior_olive (SO)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),231: superior_olive+lemiscal_region (SO/ml),233: medial_lemniscus (ml),233: medial_lemniscus (ml)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),231: superior_olive+lemiscal_region (SO/ml),234: trapezoid_bundle_region (tz),234: trapezoid_bundle_region (tz)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),235: pontine_nucleus_region (Pn+),236: pontine_nucleus (Pn),236: pontine_nucleus (Pn)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),235: pontine_nucleus_region (Pn+),237: pontine_fibers (spf),238: sensory_root_of_the_trigeminal_nerve (s5)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),235: pontine_nucleus_region (Pn+),237: pontine_fibers (spf),239: transverse_fibers (tfp)
204: metencephalon (met),205: pons (Pons),224: ventral_pons (VPons),235: pontine_nucleus_region (Pn+),237: pontine_fibers (spf),240: medial_cerebellar_peduncle (mcp)
